C1	C2	C3	C4	C5	C6	Score	IID	ID
1:1:6:5	1	1	6	5	NA	5.72081e-05	"5213"	AT4G15270
1:1:7:1	1	1	7	1	NA	0.000228833	"7218"	AT5G49200
1:1:7:2	1	1	7	2	NA	0.000114416	"1196"	AT1G51440
1:1:7:3	1	1	7	3	NA	0.000114416	"5581"	AT4G27110
1:1:7:4	1	1	7	4	NA	5.72084e-05	"6309"	AT5G11050
1:1:7:5	1	1	7	5	NA	5.72081e-05	"1149"	AT1G49730
1:1:8:1	1	1	8	1	NA	0.000457665	"1026"	AT1G36756
1:1:8:2	1	1	8	2	NA	5.72082e-05	"4088"	AT3G26390
1:1:8:3	1	1	8	3	NA	5.72081e-05	"4130"	AT3G27360
1:1:9:1	1	1	9	1	NA	0.000286041	"6966"	AT5G40790
1:1:9:2	1	1	9	2	NA	5.72083e-05	"892"	AT1G30840
1:1:9:3	1	1	9	3	NA	5.72082e-05	"2532"	AT2G21990
1:1:9:4	1	1	9	4	NA	5.72082e-05	"3641"	AT3G12440
1:1:10:1	1	1	10	1	NA	0.000171624	"156"	AT1G06140
1:1:10:2	1	1	10	2	NA	0.000114416	"3789"	AT3G16851
1:1:10:3	1	1	10	3	NA	0.000114416	"2306"	AT2G14378
1:1:10:4	1	1	10	4	NA	5.72081e-05	"1511"	AT1G63570
1:1:11:1	1	1	11	1	NA	0.000171625	"7572"	AT5G61330
1:1:11:2	1	1	11	2	NA	0.000114416	"7430"	AT5G56950
1:1:11:3	1	1	11	3	NA	5.72082e-05	"1004"	AT1G35180
1:1:11:4	1	1	11	4	NA	5.72082e-05	"3640"	AT3G12390
1:1:12:1	1	1	12	1	NA	0.000286041	"5863"	AT4G35610
1:1:12:2	1	1	12	2	NA	5.72082e-05	"6278"	AT5G10090
1:1:12:3	1	1	12	3	NA	5.72081e-05	"5169"	AT4G14301
1:1:13:1	1	1	13	1	NA	0.000171624	"5720"	AT4G31620
1:1:13:2	1	1	13	2	NA	0.000114416	"1190"	AT1G51210
1:1:13:3	1	1	13	3	NA	5.72082e-05	"3965"	AT3G22620
1:1:13:4	1	1	13	4	NA	5.7208e-05	"3945"	AT3G22100
1:1:14:1	1	1	14	1	NA	0.000171624	"4491"	AT3G52520
1:1:14:2	1	1	14	2	NA	5.72082e-05	"5633"	AT4G28700
1:1:14:3	1	1	14	3	NA	5.72081e-05	"5759"	AT4G32890
1:1:15:1	1	1	15	1	NA	0.000171624	"2278"	AT2G11778
1:1:15:2	1	1	15	2	NA	5.72082e-05	"1491"	AT1G62981
1:1:15:3	1	1	15	3	NA	5.72081e-05	"2277"	AT2G11570
